UserID,Age,Gender,School,MBTI,Region,Major,PhoneNum,Gmail,Password
1,18,Male,NCCU,ENFP,Daan District,MIS,939424987,"sdd@gmail,com",1234
2,23,Male,NYCU,ESTJ,Xinyi Dist,MATH,947975098,388g@gmail.com,999
3,15,Male,NTU,INFJ,Daan Dist,CS,990420527,dfgr3@gmail.com,69
4,33,Female,NTHU,ENFP,Neihu Dist,BA,907328368,gsgfsfg@gmail.com,1234
5,28,Male,NCKU,INTP,Daan Dist,ENGLISH,974841415,1353@gmail.com,ddddd123
6,14,Male,NCCU,INFJ,Neihu Dist,MATH,983598141,suli@gmail.com,696969
7,19,Others,NCCU,INFP,Neihu Dist,MIS,908929165,abby@gmail.com,asd13445
8,12,Female,NTHU,INTP,Xinyi Dist,BA,900565120,tiffadsfd@gmail.com,1234
9,30,Male,NCCU,ESFP,ZhongShan Dist,ARTS,941608701,dfd@gmail.com,aaaaaaa
10,21,Others,NTU,ENTJ,Datong Dist,PSYCHOLOGY,949661719,sfdsdef@gmail.com,hihihihi
11,14,Female,NYCU,ESFP,Nangang Dist,MIS,993946598,1969@gmail.com,69
12,22,Male,NCKU,ENFP,Daan Dist,CS,976556341,kiwa@gmail.com,qrrrr
13,25,Male,NCCU,ESTJ,Nangang Dist,ENGLISH,903517798,69696@gmail.com,1234
14,26,Male,NCCU,ENTJ,Xinyi Dist,FINANCE,959232393,463c@gmail.com,696969
15,11,Female,NCCU,INFP,Nangang Dist,MIS,959843352,3333@gmail.com,hihihihi
